,Word,V,A,D
1802,businesswoman,0.719,0.5,0.764
1803,busload,0.561,0.481,0.492
1804,bust,0.362,0.5880000000000001,0.38249999999999995
1805,buster,0.469,0.491,0.483
1806,bustl,0.4185,0.832,0.48650000000000004
1807,busybodi,0.255,0.634,0.472
1808,butan,0.442,0.483,0.38
1809,butcher,0.5,0.575,0.608
1810,butler,0.469,0.225,0.438
1811,butt,0.347,0.725,0.336
1812,butter,0.65,0.292,0.202
1813,buttercup,0.562,0.482,0.422
1814,butterfli,0.892,0.327,0.314
1815,butteri,0.625,0.318,0.303
1816,buttermilk,0.633,0.311,0.304
1817,butterscotch,0.708,0.51,0.356
1818,buttock,0.4435,0.6385000000000001,0.3265
1819,button,0.52,0.22,0.343
1820,buttress,0.438,0.684,0.721
1821,buxom,0.562,0.719,0.547
1822,buy,0.718,0.7765,0.6005
1823,buyer,0.613,0.519,0.649
1824,buzz,0.4486666666666666,0.6076666666666667,0.39766666666666667
1825,buzzard,0.35,0.5,0.225
1826,buzzer,0.549,0.716,0.48
1827,bye,0.375,0.398,0.321
1828,bygon,0.229,0.31,0.315
1829,bylaw,0.469,0.373,0.725
1830,bylin,0.469,0.45,0.435
1831,bypass,0.429,0.418,0.353
1832,bystand,0.48,0.462,0.491
1833,byte,0.49,0.38,0.407
1834,byzantin,0.546,0.443,0.492
1835,cab,0.438,0.49,0.421
1836,cabal,0.5,0.406,0.573
1837,cabana,0.698,0.296,0.407
1838,cabaret,0.677,0.656,0.482
1839,cabbag,0.398,0.225,0.264
1840,cabbi,0.521,0.417,0.429
1841,cabernet,0.543,0.42,0.48
1842,cabin,0.643,0.292,0.43
1843,cabinet,0.552,0.306,0.465
1844,cabl,0.583,0.245,0.434
1845,caboodl,0.529,0.521,0.325
1846,caboos,0.44,0.453,0.438
1847,cabriolet,0.667,0.525,0.472
1848,cach,0.552,0.348,0.389
1849,cacophoni,0.408,0.562,0.44
1850,cactu,0.439,0.412,0.284
1851,cad,0.447,0.406,0.404
1852,cadav,0.03,0.69,0.26
1853,caddi,0.5505,0.4525,0.3195
1854,cadenc,0.427,0.473,0.355
1855,cadet,0.504,0.393,0.664
1856,cafe,0.781,0.392,0.358
1857,cafeteria,0.757,0.4,0.382
1858,caffein,0.562,0.759,0.5
1859,cage,0.316,0.333,0.352
1860,cagey,0.542,0.363,0.582
1861,cahoot,0.312,0.696,0.474
1862,cairn,0.26,0.435,0.254
1863,cake,0.81,0.375,0.287
1864,cakewalk,0.719,0.51,0.447
1865,calam,0.122,0.795,0.343
1866,calamari,0.521,0.312,0.406
1867,calamit,0.219,0.685,0.5
1868,calcar,0.49,0.368,0.462
1869,calcium,0.6,0.346,0.479
1870,calcul,0.548,0.4086,0.5884
1871,calculu,0.36,0.36,0.562
1872,calend,0.531,0.275,0.451
1873,calendar,0.48,0.212,0.473
1874,calf,0.531,0.366,0.336
1875,calib,0.429,0.551,0.606
1876,calibr,0.552,0.46,0.623
1877,calico,0.406,0.338,0.491
1878,calip,0.48,0.51,0.481
1879,calisthen,0.562,0.663,0.545
1880,call,0.616,0.5493333333333333,0.5306666666666667
1881,callback,0.524,0.529,0.434
1882,caller,0.646,0.615,0.472
1883,calligraphi,0.62,0.216,0.5
1884,callou,0.245,0.5,0.386
1885,calm,0.898,0.10333333333333333,0.3453333333333333
1886,calor,0.327,0.483,0.448
1887,calori,0.333,0.54,0.427
1888,calorimet,0.406,0.56,0.414
1889,cam,0.448,0.363,0.355
1890,camaraderi,0.833,0.51,0.648
1891,camber,0.43,0.382,0.439
1892,camcord,0.556,0.422,0.454
1893,camel,0.54,0.282,0.314
1894,cameo,0.573,0.457,0.509
1895,camera,0.64,0.288,0.379
1896,cameraman,0.542,0.452,0.542
1897,camisol,0.497,0.25,0.375
1898,camouflag,0.394,0.5035,0.506
1899,camp,0.6375,0.573,0.5369999999999999
1900,campaign,0.5750000000000001,0.6970000000000001,0.7949999999999999
1901,camper,0.573,0.529,0.482
1902,campfir,0.677,0.509,0.436
1903,campsit,0.68,0.49,0.547
1904,campu,0.604,0.388,0.519
1905,can,0.53,0.3585,0.376
1906,can open,0.444,0.491,0.308
1907,canal,0.673,0.259,0.321
1908,canari,0.582,0.276,0.265
1909,cancel,0.22233333333333336,0.40233333333333327,0.36866666666666664
1910,cancer,0.052,0.694,0.529
1911,candi,0.8215,0.3775,0.372
1912,candid,0.6315,0.4195,0.631
1913,candidaci,0.49,0.657,0.696
1914,candl,0.6085,0.2135,0.306
1915,candlelight,0.789,0.294,0.417
1916,candlestick,0.448,0.531,0.534
1917,candor,0.74,0.389,0.607
1918,cane,0.459,0.298,0.398
1919,canin,0.573,0.569,0.425
1920,canist,0.553,0.271,0.403
1921,canker,0.262,0.469,0.427
1922,cannabi,0.271,0.5,0.564
1923,cannib,0.108,0.857,0.5315
1924,canning,0.49,0.392,0.259
1925,cannon,0.529,0.676,0.811
1926,cannonbal,0.344,0.84,0.759
1927,cano,0.542,0.3,0.418
1928,canon,0.43733333333333335,0.5056666666666666,0.5846666666666667
1929,canopi,0.615,0.264,0.398
1930,cantaloup,0.592,0.212,0.276
1931,cantbreath,0.284,0.667,0.375
1932,canteen,0.688,0.6,0.514
1933,canterburi,0.582,0.438,0.51
1934,canthandleit,0.354,0.613,0.354
1935,cantilev,0.357,0.618,0.421
1936,cantina,0.646,0.612,0.38
1937,canto,0.776,0.461,0.554
1938,canton,0.542,0.472,0.536
1939,cantstandit,0.418,0.546,0.343
1940,cantwin,0.26,0.509,0.298
1941,canva,0.6970000000000001,0.22299999999999998,0.3805
1942,canyon,0.468,0.731,0.634
1943,cap,0.5609999999999999,0.23049999999999998,0.3715
1944,capabl,0.7989999999999999,0.579,0.6385000000000001
1945,capac,0.719,0.411,0.806
1946,cape,0.531,0.235,0.357
1947,caper,0.51,0.37,0.326
1948,capillari,0.469,0.365,0.395
1949,capit,0.5946,0.5631999999999999,0.755
1950,capitalist,0.352,0.577,0.821
1951,capitol,0.535,0.375,0.705
1952,capitul,0.375,0.546,0.615
1953,cappuccino,0.792,0.279,0.384
1954,capric,0.333,0.64,0.43
1955,caprici,0.221,0.65,0.5
1956,capslock,0.33,0.394,0.398
1957,capsul,0.583,0.29,0.57
1958,captain,0.552,0.653,0.966
1959,caption,0.814,0.292,0.379
1960,captiv,0.51325,0.56225,0.5842499999999999
1961,captor,0.347,0.625,0.612
1962,captur,0.357,0.65,0.537
1963,car,0.776,0.54,0.5
1964,caramel,0.901,0.363,0.4
1965,carat,0.823,0.604,0.676
1966,caravan,0.635,0.559,0.455
1967,carbon,0.604,0.36,0.35
1968,carburetor,0.469,0.612,0.555
1969,carcass,0.115,0.529,0.309
1970,carcinoma,0.153,0.692,0.44
1971,card,0.5495,0.29300000000000004,0.378
1972,cardboard,0.5,0.173,0.309
1973,cardiac,0.344,0.765,0.615
1974,cardigan,0.599,0.324,0.264
1975,cardin,0.583,0.358,0.712
1976,cardiolog,0.203,0.545,0.605
1977,cardiologist,0.458,0.63,0.814
1978,cardiomyopathi,0.177,0.645,0.537
1979,care,0.67175,0.42675,0.5185
1980,career,0.74,0.712,0.606
1981,carefre,0.755,0.22,0.5
1982,careless,0.25,0.4565,0.2275
1983,caress,0.833,0.418,0.509
1984,caret,0.656,0.402,0.527
1985,caretak,0.714,0.531,0.759
1986,cargo,0.408,0.444,0.455
1987,cari,0.115,0.569,0.283
1988,carib,0.562,0.452,0.342
1989,caricatur,0.604,0.373,0.383
1990,carjack,0.438,0.682,0.439
1991,carnag,0.406,0.6,0.558
1992,carnal,0.417,0.679,0.421
1993,carnat,0.653,0.357,0.431
1994,carniv,0.927,0.888,0.555
1995,carnivor,0.224,0.613,0.651
1996,carol,0.76,0.416,0.4635
1997,carousel,0.704,0.5,0.412
1998,carp,0.531,0.324,0.375
1999,carpal,0.449,0.327,0.42
2000,carpent,0.521,0.55,0.519
2001,carpentri,0.561,0.459,0.518
2002,carpet,0.531,0.241,0.3915
2003,carpool,0.625,0.509,0.5
2004,carri,0.5936666666666667,0.43966666666666665,0.49233333333333335
2005,carriag,0.65,0.538,0.491
2006,carrier,0.533,0.588,0.638
2007,carrot,0.5,0.235,0.279
2008,carsick,0.224,0.574,0.255
2009,cart,0.556,0.33199999999999996,0.331
2010,cartel,0.438,0.394,0.602
2011,carter,0.312,0.48,0.431
2012,cartilag,0.438,0.37,0.407
2013,cartograph,0.49,0.348,0.424
2014,cartographi,0.52,0.3,0.579
2015,carton,0.286,0.186,0.241
2016,cartoon,0.867,0.471,0.387
2017,cartouch,0.427,0.458,0.45
2018,cartridg,0.458,0.5,0.407
2019,carv,0.505,0.4435,0.483
2020,carver,0.418,0.5,0.5
2021,cascad,0.735,0.509,0.395
2022,case,0.4425,0.30100000000000005,0.3845
2023,casein,0.47,0.436,0.415
2024,cash,0.867,0.552,0.714
2025,cashier,0.615,0.413,0.484
2026,cashmer,0.653,0.452,0.439
2027,casino,0.542,0.684,0.568
2028,cask,0.49,0.398,0.444
2029,casket,0.125,0.49,0.346
2030,casserol,0.57,0.36,0.328
2031,cassett,0.49,0.334,0.355
2032,cast,0.534,0.47650000000000003,0.4455
2033,castaway,0.208,0.646,0.422
2034,caster,0.604,0.67,0.647
2035,castl,0.68,0.396,0.718
2036,castor,0.583,0.337,0.368
2037,castrat,0.1875,0.61,0.45
2038,casual,0.6505000000000001,0.257,0.359
2039,casualti,0.235,0.274,0.132
2040,cat,0.667,0.26,0.37
2041,catabol,0.265,0.573,0.605
2042,catalog,0.561,0.221,0.573
2043,catalogu,0.647,0.327,0.533
2044,catalysi,0.385,0.559,0.531
2045,catalyst,0.604,0.509,0.585
2046,catalyt,0.562,0.519,0.563
2047,catamaran,0.571,0.566,0.526
2048,catapult,0.48,0.83,0.649
2049,cataract,0.406,0.545,0.549
2050,catastroph,0.10849999999999999,0.9430000000000001,0.634
2051,cataton,0.255,0.5,0.509
2052,catch,0.5105,0.6125,0.5980000000000001
2053,catcher,0.653,0.413,0.54
2054,catchi,0.677,0.441,0.462
2055,catchphras,0.698,0.423,0.433
2056,cate,0.37,0.394,0.407
2057,catech,0.656,0.236,0.613
2058,categor,0.615,0.442,0.76
2059,categori,0.571,0.264,0.521
2060,cater,0.676,0.5285,0.5765
2061,caterpillar,0.461,0.286,0.33
2062,catfish,0.458,0.337,0.296
2063,cathart,0.45,0.51,0.604
2064,cathedr,0.598,0.33,0.643
2065,cathet,0.336,0.491,0.373
2066,cathous,0.327,0.375,0.363
2067,catnip,0.439,0.381,0.296
2068,cattl,0.622,0.34,0.445
2069,catwalk,0.698,0.436,0.464
2070,caucu,0.418,0.311,0.491
2071,caudal,0.5,0.425,0.583
2072,cauldron,0.51,0.486,0.418
2073,cauliflow,0.448,0.255,0.231
2074,caulk,0.367,0.5,0.418
2075,caus,0.4065,0.4465,0.434
2076,causal,0.531,0.3725,0.4135
2077,causat,0.562,0.48,0.567
2078,causeway,0.453,0.382,0.422
2079,caution,0.552,0.712,0.547
2080,cautionari,0.51,0.541,0.519
2081,cautiou,0.47,0.445,0.517
2082,cautious,0.51,0.388,0.525
2083,cavali,0.735,0.462,0.713
2084,cavalri,0.667,0.727,0.794
2085,cave,0.4185,0.41200000000000003,0.4655
2086,caveat,0.344,0.629,0.484
2087,caveman,0.235,0.644,0.482
2088,cavern,0.3385,0.454,0.4135
2089,caviar,0.906,0.394,0.481
2090,caviti,0.466,0.385,0.379
2091,cayenn,0.615,0.306,0.355
2092,ce,0.427,0.375,0.406
2093,ceas,0.388,0.25,0.42
2094,ceasefir,0.542,0.594,0.567
2095,ceaseless,0.378,0.704,0.658
2096,cedar,0.56,0.267,0.577
2097,cede,0.275,0.327,0.402
2098,ceil,0.52,0.224,0.366
2099,celebr,0.8915714285714286,0.7571428571428571,0.7838571428571429
2100,celebratori,0.857,0.653,0.845
2101,celeri,0.396,0.147,0.223
2102,celesti,0.817,0.36,0.731
2103,celib,0.419,0.387,0.391
2104,celibaci,0.302,0.276,0.509
2105,cell,0.541,0.375,0.465
2106,cellar,0.51,0.277,0.406
2107,cellblock,0.186,0.57,0.5
2108,cellist,0.667,0.5,0.486
2109,cellmat,0.167,0.684,0.349
2110,cello,0.635,0.324,0.528
2111,cellophan,0.648,0.282,0.289
2112,cellular,0.643,0.398,0.517
2113,cellulit,0.2,0.384,0.256
2114,celluloid,0.469,0.44,0.425
2115,cement,0.48650000000000004,0.3235,0.532
2116,cemeteri,0.051,0.63,0.417
2117,censor,0.344,0.276,0.538
2118,censorship,0.219,0.698,0.421
2119,censu,0.449,0.289,0.553
2120,censur,0.219,0.653,0.417
2121,cent,0.439,0.367,0.402
2122,centenari,0.604,0.44,0.642
2123,centenni,0.583,0.394,0.7
2124,center,0.643,0.231,0.431
2125,centerfold,0.571,0.407,0.485
2126,centerpiec,0.594,0.208,0.52
2127,centimet,0.427,0.28,0.38
2128,centiped,0.296,0.399,0.361
2129,central,0.629,0.363,0.7068
2130,centrifug,0.40049999999999997,0.6365000000000001,0.5035000000000001
2131,centuri,0.407,0.347,0.735
2132,centurion,0.59,0.447,0.696
2133,ceram,0.5469999999999999,0.2525,0.372
2134,cereal,0.6655,0.215,0.3135
2135,cerebr,0.408,0.509,0.627
2136,ceremoni,0.7655000000000001,0.5495000000000001,0.726
2137,certain,0.76,0.358,0.673
2138,certainti,0.781,0.4,0.769
2139,certif,0.786,0.377,0.746
2140,certifi,0.7869999999999999,0.4163333333333334,0.738
2141,cervic,0.375,0.413,0.445
2142,cervix,0.429,0.36,0.34
2143,cessat,0.414,0.385,0.358
2144,cesspool,0.167,0.46,0.409
2145,cha cha,0.714,0.546,0.324
2146,chafe,0.43,0.415,0.368
2147,chaff,0.333,0.327,0.188
2148,chagrin,0.108,0.7244999999999999,0.4165
2149,chai,0.5,0.375,0.363
2150,chain,0.378,0.5,0.547
2151,chainsaw,0.367,0.804,0.636
2152,chair,0.562,0.082,0.276
2153,chairman,0.656,0.567,0.933
2154,chairperson,0.73,0.657,0.966
2155,chairwoman,0.719,0.664,0.953
2156,chais,0.406,0.349,0.327
2157,chalet,0.653,0.349,0.278
2158,chalic,0.633,0.286,0.529
2159,chalk,0.385,0.185,0.121
2160,challeng,0.44299999999999995,0.8385,0.6825
2161,chamber,0.5625,0.4075,0.4215
2162,chambermaid,0.594,0.375,0.336
2163,chameleon,0.49,0.58,0.345
2164,champ,0.854,0.754,0.896
2165,champagn,0.76,0.6,0.454
2166,champion,0.89,0.88,0.945
2167,championship,0.833,0.8,0.88
2168,chanc,0.833,0.551,0.525
2169,chancellor,0.646,0.5,0.887
2170,chandeli,0.615,0.542,0.366
2171,chandler,0.51,0.452,0.454
2172,chang,0.5966666666666667,0.5063333333333333,0.5193333333333333
2173,changeabl,0.49,0.48,0.528
2174,changer,0.583,0.519,0.567
2175,channel,0.49,0.287,0.405
2176,chant,0.771,0.698,0.65
2177,chao,0.016,0.923,0.373
2178,chaotic,0.115,0.847,0.442
2179,chap,0.45,0.436,0.3475
2180,chapel,0.573,0.24,0.44
2181,chaperon,0.5,0.52,0.404
2182,chaplain,0.582,0.37,0.577
2183,chapman,0.562,0.529,0.465
2184,chapter,0.58,0.308,0.461
2185,char,0.381,0.5185,0.3885
2186,charact,0.667,0.373,0.686
2187,character,0.729,0.471,0.735
2188,characterist,0.583,0.328,0.538
2189,charad,0.458,0.55,0.346
2190,charcoal,0.302,0.186,0.342
2191,chardonnay,0.677,0.567,0.492
2192,charg,0.51,0.633,0.785
2193,chargeabl,0.551,0.55,0.453
2194,charger,0.531,0.418,0.545
2195,chariot,0.684,0.55,0.491
2196,charisma,0.938,0.591,0.759
2197,charismat,0.938,0.684,0.849
2198,charit,0.865,0.38,0.593
2199,chariti,0.92,0.284,0.551
2200,charlatan,0.2,0.64,0.352
2201,charm,0.8959999999999999,0.531,0.7273333333333333
2202,charmer,0.882,0.683,0.782
2203,chart,0.469,0.317,0.33
2204,charter,0.623,0.42100000000000004,0.504
2205,chase,0.29200000000000004,0.854,0.45499999999999996
2206,chaser,0.375,0.83,0.645
2207,chasm,0.265,0.579,0.5
2208,chassi,0.406,0.342,0.444
2209,chast,0.408,0.248,0.453
2210,chasten,0.156,0.58,0.345
2211,chastis,0.156,0.852,0.462
2212,chastiti,0.469,0.392,0.509
2213,chat,0.729,0.4,0.346
2214,chateau,0.615,0.464,0.702
2215,chatter,0.51,0.5565,0.3255
2216,chatterbox,0.459,0.548,0.482
2217,chatti,0.594,0.548,0.345
2218,chauffeur,0.5,0.353,0.471
2219,chauvinist,0.31,0.539,0.527
2220,cheap,0.612,0.471,0.272
2221,cheapen,0.471,0.611,0.282
2222,cheapskat,0.148,0.482,0.327
2223,cheat,0.125,0.776,0.4
2224,cheater,0.104,0.92,0.333
2225,check,0.523,0.552,0.602
2226,checkbook,0.552,0.284,0.364
2227,checker,0.48833333333333334,0.39466666666666667,0.442
2228,checklist,0.561,0.521,0.552
2229,checkmat,0.667,0.708,0.75
2230,checkout,0.597,0.51,0.67
2231,checkpoint,0.571,0.323,0.812
2232,checkup,0.5,0.435,0.491
2233,cheek,0.6890000000000001,0.319,0.3515
2234,cheeki,0.434,0.679,0.41
2235,cheep,0.367,0.38,0.373
2236,cheer,0.9225,0.758,0.725
2237,cheeri,0.949,0.657,0.486
2238,cheerlead,0.8105,0.7575000000000001,0.5305
2239,cheerless,0.204,0.373,0.167
2240,chees,0.74,0.28,0.281
2241,cheeseburg,0.802,0.529,0.336
2242,cheesecak,0.86,0.276,0.238
2243,cheesi,0.47,0.471,0.179
2244,cheetah,0.469,0.77,0.667
2245,chef,0.854,0.411,0.57
2246,chemic,0.337,0.56,0.508
2247,chemis,0.53,0.275,0.364
2248,chemist,0.408,0.575,0.61
2249,chemistri,0.625,0.52,0.694
2250,chemo,0.214,0.686,0.444
2251,chemotherapi,0.163,0.689,0.517
2252,chequ,0.698,0.529,0.66
2253,cherish,0.866,0.4355,0.6385000000000001
2254,cherri,0.688,0.186,0.25
2255,cherub,0.663,0.34,0.455
2256,chess,0.656,0.363,0.518
2257,chest,0.52,0.429,0.481
2258,chestnut,0.714,0.21,0.294
2259,chevron,0.469,0.469,0.598
2260,chew,0.52,0.49,0.404
2261,chewi,0.625,0.418,0.39
2262,chic,0.87,0.624,0.38
2263,chican,0.357,0.46,0.481
2264,chick,0.771,0.602,0.387
2265,chicken,0.594,0.306,0.394
2266,chicken pox,0.194,0.51,0.415
2267,chickenpox,0.173,0.562,0.357
2268,chief,0.52,0.544,0.869
2269,chiefli,0.6,0.587,0.764
2270,chieftain,0.343,0.529,0.86
2271,chiffon,0.406,0.23,0.25
2272,child,0.8845000000000001,0.499,0.424
2273,childbirth,0.604,0.861,0.673
2274,childhood,0.865,0.413,0.307
2275,childish,0.573,0.442,0.23
2276,childless,0.31,0.4,0.396
2277,childlik,0.656,0.372,0.293
2278,childloss,0.24,0.571,0.421
2279,chili,0.592,0.566,0.433
2280,chill,0.522,0.4653333333333333,0.4406666666666667
2281,chilli,0.329,0.459,0.408
2282,chime,0.599,0.5155000000000001,0.43300000000000005
2283,chimera,0.292,0.582,0.372
2284,chimney,0.583,0.286,0.225
2285,chimp,0.394,0.588,0.345
2286,chimpanze,0.5,0.633,0.387
2287,chin,0.571,0.31,0.269
2288,china,0.561,0.443,0.556
2289,chinchilla,0.48,0.45,0.286
2290,chine,0.561,0.36,0.352
2291,chinook,0.408,0.497,0.491
2292,chip,0.4165,0.41700000000000004,0.40249999999999997
2293,chipmunk,0.573,0.562,0.409
2294,chipper,0.418,0.588,0.5
2295,chiropractor,0.42,0.549,0.651
2296,chirp,0.4845,0.5325,0.3625
2297,chisel,0.44899999999999995,0.505,0.458
2298,chit,0.49,0.352,0.321
2299,chitchat,0.673,0.455,0.403
2300,chivalri,0.857,0.38,0.848
2301,chlorid,0.265,0.387,0.474
2302,chlorin,0.306,0.327,0.332
2303,chloroform,0.281,0.37,0.393
2304,chocol,0.885,0.48,0.418
2305,choic,0.745,0.52,0.664
2306,choir,0.704,0.298,0.473
2307,choke,0.167,0.788,0.676
2308,cholera,0.02,0.867,0.507
2309,cholesterol,0.198,0.583,0.398
2310,choos,0.667,0.5355000000000001,0.6685
2311,choosi,0.28,0.76,0.712
2312,chop,0.47400000000000003,0.5666666666666667,0.36600000000000005
2313,chopper,0.5315,0.6525000000000001,0.6
2314,choral,0.852,0.29,0.421
2315,chord,0.6839999999999999,0.4,0.4635
2316,chore,0.406,0.462,0.5
2317,choreograph,0.646,0.639,0.625
2318,choreographi,0.812,0.75,0.547
2319,choru,0.62,0.417,0.5
2320,chosen,0.865,0.449,0.833
2321,chow,0.573,0.49,0.39
2322,chowder,0.51,0.324,0.241
2323,christ,0.781,0.51,0.75
2324,christen,0.6990000000000001,0.369,0.619
2325,christma,0.959,0.52,0.741
2326,christmasbreak,0.842,0.64,0.548
2327,christmasev,0.812,0.491,0.463
2328,christmassi,0.875,0.698,0.602
2329,christmasspirit,0.867,0.602,0.575
2330,christmastim,0.837,0.588,0.515
2331,chromat,0.407,0.413,0.435
2332,chromatographi,0.48,0.537,0.535
2333,chrome,0.582,0.373,0.421
2334,chromium,0.458,0.404,0.447
2335,chromosom,0.5,0.296,0.548
2336,chronic,0.255,0.615,0.464
2337,chronicl,0.427,0.571,0.586
2338,chronograph,0.5,0.392,0.529
2339,chronolog,0.594,0.445,0.6
2340,chubbi,0.531,0.427,0.304
2341,chuck,0.542,0.509,0.413
2342,chuckl,0.844,0.736,0.481
2343,chug,0.401,0.413,0.358
2344,chum,0.911,0.347,0.518
2345,chummi,0.76,0.42,0.61
2346,chump,0.375,0.451,0.304
2347,chunk,0.365,0.287,0.214
2348,chunki,0.52,0.517,0.509
2349,church,0.708,0.198,0.61
2350,churchyard,0.296,0.444,0.347
2351,churn,0.316,0.491,0.407
2352,chute,0.58,0.745,0.455
2353,chutney,0.459,0.37,0.4
2354,ciao,0.542,0.426,0.409
2355,cider,0.53,0.346,0.398
2356,cigar,0.306,0.463,0.346
2357,cigarett,0.219,0.528,0.304
2358,cilantro,0.469,0.26,0.208
2359,cinch,0.45,0.49,0.387
2360,cinder,0.35,0.26,0.157
2361,cinema,0.698,0.538,0.5
2362,cinemat,0.663,0.49,0.6
2363,cinematograph,0.792,0.455,0.711
2364,cinematographi,0.781,0.571,0.625
2365,cinnamon,0.6,0.25,0.292
2366,cipher,0.49,0.414,0.5
2367,circl,0.495,0.472,0.3395
2368,circu,0.724,0.637,0.432
2369,circuit,0.586,0.461,0.707
2370,circuitri,0.596,0.615,0.536
2371,circul,0.6735,0.454,0.48850000000000005
2372,circular,0.562,0.342,0.417
2373,circulatori,0.592,0.575,0.545
2374,circumcis,0.327,0.657,0.528
2375,circumfer,0.458,0.255,0.488
2376,circumferenti,0.551,0.422,0.509
2377,circumscrib,0.365,0.539,0.569
2378,circumst,0.541,0.546,0.53
2379,circumstanti,0.5,0.538,0.519
2380,circumv,0.316,0.642,0.383
2381,circumvent,0.531,0.571,0.473
2382,cirqu,0.604,0.647,0.467
2383,cirrhosi,0.079,0.602,0.37
2384,cirru,0.47,0.451,0.348
2385,cistern,0.541,0.413,0.432
2386,citadel,0.585,0.464,0.602
2387,citat,0.57,0.549,0.508
2388,cite,0.625,0.454,0.532
2389,citi,0.847,0.531,0.508
2390,citizen,0.631,0.25,0.586
2391,citizenship,0.786,0.404,0.723
2392,citrin,0.375,0.4,0.42
2393,citru,0.469,0.368,0.375
2394,citywid,0.592,0.509,0.707
2395,civic,0.6765,0.2595,0.6465
2396,civil,0.724,0.3175,0.70775
2397,civilian,0.595,0.3385,0.5615
2398,clad,0.583,0.373,0.481
2399,claim,0.255,0.76,0.473
2400,claimant,0.271,0.69,0.779
2401,clairvoy,0.765,0.531,0.897
2402,clam,0.442,0.302,0.272
2403,clambak,0.542,0.54,0.429
2404,clammi,0.354,0.44,0.236
2405,clamor,0.438,0.643,0.36
2406,clamp,0.541,0.388,0.454
2407,clan,0.562,0.491,0.686
2408,clandestin,0.425,0.677,0.469
2409,clang,0.459,0.52,0.51
2410,clap,0.8009999999999999,0.8125,0.6075
2411,clapper,0.5,0.229,0.42
2412,clarif,0.802,0.461,0.613
2413,clarifi,0.652,0.535,0.625
2414,clarinet,0.592,0.453,0.411
2415,clarion,0.5,0.443,0.422
2416,clariti,0.796,0.31,0.631
2417,clash,0.235,0.841,0.514
2418,clasp,0.448,0.375,0.241
2419,class,0.656,0.314,0.522
2420,classi,0.917,0.41,0.649
2421,classic,0.6943333333333334,0.26366666666666666,0.5523333333333333
2422,classic rock,0.729,0.571,0.588
2423,classif,0.583,0.423,0.613
2424,classifi,0.6085,0.4355,0.6915
2425,classmat,0.781,0.4,0.593
2426,classroom,0.539,0.292,0.363
2427,clatter,0.418,0.82,0.387
2428,claus,0.4645,0.419,0.5365
2429,claustrophob,0.092,0.755,0.4
2430,claustrophobia,0.125,0.84,0.333
2431,clavicl,0.398,0.4,0.452
2432,claw,0.2705,0.649,0.5800000000000001
2433,clay,0.542,0.25,0.267
2434,clean,0.711,0.28300000000000003,0.4635
2435,cleaner,0.604,0.556,0.375
2436,cleanli,0.8194999999999999,0.3575,0.596
2437,cleans,0.677,0.304,0.5660000000000001
2438,cleanser,0.604,0.353,0.433
2439,cleanup,0.729,0.314,0.451
2440,clear,0.8039999999999999,0.3253333333333333,0.5903333333333333
2441,clearanc,0.542,0.459,0.473
2442,cleat,0.486,0.26,0.361
2443,cleav,0.296,0.545,0.389
2444,cleavag,0.542,0.602,0.454
2445,cleaver,0.24,0.627,0.434
2446,clef,0.615,0.36,0.595
2447,cleft,0.306,0.442,0.36
2448,clemenc,0.594,0.417,0.397
2449,clench,0.438,0.618,0.58
2450,clergi,0.531,0.312,0.575
2451,clergyman,0.594,0.33,0.556
2452,cleric,0.5205,0.36,0.54
2453,clerk,0.5,0.579,0.509
2454,clerkship,0.582,0.38,0.596
2455,clever,0.887,0.431,0.825
2456,click,0.536,0.365,0.268
2457,clicker,0.418,0.49,0.463
2458,client,0.583,0.45,0.618
2459,clientel,0.625,0.577,0.508
2460,cliff,0.361,0.62,0.509
2461,climat,0.635,0.24,0.483
2462,climatolog,0.531,0.367,0.541
2463,climax,0.735,0.853,0.667
2464,climb,0.615,0.66,0.604
2465,climber,0.573,0.716,0.735
2466,clinch,0.469,0.538,0.43
2467,cling,0.417,0.62,0.588
2468,clingi,0.224,0.46,0.37
2469,clinic,0.403,0.4255,0.62
2470,clink,0.458,0.462,0.319
2471,clip,0.449,0.405,0.393
2472,clipboard,0.594,0.255,0.423
2473,clipper,0.293,0.422,0.383
2474,cliqu,0.427,0.43,0.391
2475,clitori,0.625,0.844,0.464
2476,cloak,0.495,0.39149999999999996,0.361
2477,cloakroom,0.69,0.254,0.397
2478,clobber,0.396,0.578,0.464
2479,clock,0.677,0.173,0.407
2480,clockwork,0.49,0.373,0.528
2481,clod,0.375,0.404,0.365
2482,clog,0.104,0.618,0.454
2483,cloister,0.438,0.413,0.475
2484,clone,0.311,0.5834999999999999,0.6015
2485,close,0.4426666666666667,0.22033333333333335,0.34366666666666673
2486,closet,0.531,0.204,0.33
2487,closur,0.229,0.22,0.412
2488,clot,0.15,0.558,0.275
2489,cloth,0.7225,0.28325,0.39725
2490,clotheslin,0.582,0.324,0.366
2491,cloud,0.5716666666666667,0.18033333333333335,0.32266666666666666
2492,cloudi,0.375,0.265,0.2725
2493,clout,0.584,0.636,0.704
2494,clove,0.433,0.257,0.35550000000000004
2495,clover,0.605,0.34,0.364
2496,clown,0.625,0.6355,0.34550000000000003
2497,club,0.6845,0.5740000000000001,0.492
2498,clubhous,0.694,0.571,0.493
2499,cluck,0.39,0.49,0.353
2500,clue,0.653,0.38,0.412
2501,clueless,0.35,0.333,0.161
2502,clump,0.551,0.48,0.582
2503,clumsi,0.125,0.42,0.144
